"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1","23166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","85116"," 22375"," 71477"," 22492"," 22771"," 22772"," 22773"," 22774"," 22775"," 22805"," 22725"," 22726"," 22727"," 22728"," 22729"," 22212"," 85167B"," 21171"," 22195"," 84969"," 84997C"," 84997B"," 84997D"," 22494"," 22497"," 85232D"," 21064"," 21731"," 84558A"," 20780"," 20782"," 84625A"," 84625C"," 20719"," 22376"," 20966"," 22196"," 84992"," 84991"," 21976"," 22417"," 47559B"," 21154"," 21041"," 21035"," 22423"," 22134"," 21832"," 22422"," 22374"," 22371"," 20665"," 23076"," 21791"," 22550"," 23177"," 22432"," 21975"," 22699"," 84559A"," 84559B"," 16008"," 22821"," 23084"," 23162"," 23171"," 23172"," 23170"," 23173"," 23174"," 23175"," 85178"," 17021"," 23146"," 51014C"," 23308"," 23297"," 22372"," 21578"," 23147"," 22992"," 23316"," 23480"," 21265"," 21636"," 22252"," 22945"," 47580"," 47567B"," 22698"," 22697"," 23508"," 23506"," 23503"," 22561"," 22621"," 23421"," 23422"," 23420"," 22131"
"3","84992"," 22951"," 84991"," 21213"," 22616"," 21981"," 21982"," 21725"," 21211"," 84988"," 22952"," 21977"," POST"," 21980"," 21985"," 21726"," 21983"," 21967"," 23077"," 23078"," 23076"," 22437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","23112"," 23460"," 21564"," 21411"," 21563"," 22131"," 22195"," 48194"," 84978"," 22832"," 22557"," 23198"," 22666"," 22720"," 22960"," 22722"," 23113"," 22692"," 23253"," 22071"," 85014A"," 22567"," 84078A"," 22423"," 20914"," 20685"," 21086"," 21535"," 21531"," 21533"," 22070"," 21787"," 85014B"," 22553"," 23020"," 23293"," 23296"," 23294"," 23545"," 23295"," 23236"," 23240"," 23283"," 22326"," 22554"," 22555"," 22333"," 23493"," 23494"," 23497"," 23514"," 21136"," 22704"," 22601"," 23263"," 23273"," 23439"," 35970"," 22556"," 47504H"," 23108"," 85053"," 22441"," 22430"," 48184"," 22059"," 21231"," 21232"," 22064"," 37448"," 37500"," 48185"," POST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","21908"," 22412"," 79066K"," 79191C"," 22348"," 84086C"," 22551"," 22557"," 21832"," 21915"," 22620"," 21171"," POST"," 21864"," 21866"," 20652"," 20615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","21380"," 22064"," 21232"," 22646"," 22779"," 22423"," 22654"," 22120"," 21755"," 21756"," 21754"," 22853"," 21700"," 22630"," 22780"," POST"," 84050"," 22138"," 22844"," M"," 22645"," 37448"," 21914"," 22701"," 22784"," 22413"," 22801"," 23198"," 22980"," 23245"," 21314"," 22692"," 22993"," 22979"," 22617"," 22624"," 22720"," 37495"," 23298"," 84510A"," 21770"," 22722"," 21731"," 22635"," 22634"," 23243"," 22550"," 23096"," 22978"," 22982"," 23559"," 22668"," 22627"," 23367"," 23088"," 22178"," 23089"," 21669"," 23368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","37449"," 37446"," 22890"," 37450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","23201"," 23204"," 23205"," 23254"," 23255"," 23256"," 21922"," 22839"," 21240"," 84997D"," 22899"," 22326"," 22628"," 22629"," 22384"," 22630"," 22631"," 20725"," 22635"," 22848"," 21217"," 22508"," 22456"," 22317"," 21380"," 22090"," 22668"," 21080"," 23052"," 23054"," 84988"," 21239"," 21238"," 22344"," 22343"," 21242"," 21244"," 21243"," 20675"," 20677"," 20676"," 21246"," 21843"," 22215"," 22180"," 21731"," 22983"," 23008"," 23010"," 21891"," 20749"," 20750"," 21533"," 21156"," 22623"," 21890"," 22138"," 22661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","22693"," 23076"," 23077"," 22890"," 22649"," 22423"," 85040A"," 22699"," 22697"," 22698"," 72802A"," 72802B"," 72802C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","22138"," 21198"," 21114"," 21199"," 21231"," 22060"," 22062"," 22066"," 22132"," 22131"," 22195"," 22435"," 22937"," 84378"," 84569D"," 84992"," 85184C"," 22055"," 22059"," 22649"," 22646"," 37448"," 37450"," 37500"," 37501"," 84991"," 84987"," 84535B"," 22423"," 84375"," 84380"," 22951"," 21213"," 21527"," 21843"," POST"," 21212"," 22938"," 21124"," 84457"," 22857"," 21122"," 21125"," 22967"," 22957"," 21086"," 21080"," 20971"," 21094"," 37447"," 21383"," 22698"," 22699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","22064"," 21232"," 22066"," 22067"," 21555"," 22316"," 22315"," 21843"," 22061"," 22890"," 37449"," 22423"," 37446"," 22055"," 20676"," 20677"," 22072"," 22070"," 22071"," 22190"," 21844"," 21874"," 22059"," 37448"," 22632"," 22312"," 22903"," 22904"," 22905"," 22333"," 21039"," 20750"," 85014A"," 85014B"," 15056BL"," 15056P"," 20679"," 84665"," 21485"," 23357"," 84029G"," 23355"," 23358"," 84030E"," 23356"," 84029E"," 72780"," 72783"," 37495"," 85038"," 85040A"," 20931"," 20932"," 22969"," 72741"," 85174"," 21506"," 22025"," 21507"," 22023"," 22026"," 21508"," 22024"," 22027"," 22028"," 22716"," 22029"," 22712"," 22717"," 22714"," 22718"," 22814"," 22819"," 22983"," 22817"," 22984"," 22815"," 22947"," 72817"," 35598B"," 35599B"," 35598D"," 35599D"," 22306"," 23267"," 23382"," 71403"," 23494"," 23493"," 84819"," 22511"," 21116"," 22510"," 21411"," 22508"," 22728"," 22726"," 22727"," 22191"," 23178"
"12","15060B"," 22059"," 37449"," 37447"," 48185"," 15056P"," 15056N"," 20679"," 15056BL"," 21232"," 22063"," POST"," 22646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","22511"," 22510"," 22656"," 22720"," 22721"," 22666"," 82484"," 22423"," 20704"," 82613B"," 85054"," 82613C"," 20705"," 22471"," 82613D"," 22655"," 22692"," 22918"," 21912"," 21754"," 21755"," 21756"," 22917"," 22919"," 22920"," 22709"," 23230"," 22411"," 22827"," 22722"," 22914"," 22912"," 22385"," 22555"," 22556"," 22652"," 22494"," 22659"," 22616"," 48185"," 22960"," 22961"," 22665"," 22776"," 22799"," 22858"," 22860"," 22900"," 22916"," 21745"," 21781"," 22472"," 22838"," 22840"," 22841"," 22844"," 22845"," 22852"," 22853"," 22839"," 35241"," 22636"," 21790"," 22623"," 22192"," 22193"," 22846"," 22847"," 22849"," 22474"," 21931"," 22896"," 22627"," 22625"," 22626"," 22624"," 22788"," 22501"," 22502"," 22476"," 22207"," 22963"," 22962"," 22699"," 22697"," 22567"," 47566"," 22199"," 22927"," 22925"," 21054"," 21056"," 22926"," 85099C"," 22993"," 23050"," 23049"," 23051"," 23052"," 23053"
"14","21094"," 21086"," 21080"," 21989"," 23007"," 23010"," 23008"," 84674"," 22433"," 22431"," 22554"," 22556"," 22555"," 22557"," 22551"," 21675"," 21676"," 21723"," 84997A"," 23255"," 23256"," 21561"," 22326"," 21559"," 22328"," 22352"," 21558"," 85185B"," 23128"," 22693"," 22621"," 23155"," 23159"," 22438"," 21242"," 21988"," 21987"," POST"," 84997D"," 22492"," 21245"," 20677"," 20676"," 21244"," 21240"," 23199"," 22385"," 22742"," 21578"," 21579"," 21576"," 23286"," 23285"," 23287"," 23288"," 20674"," 20675"," 22027"," 22029"," 22819"," 22814"," 21929"," 20713"," 84997B"," 72817"," 23382"," 23318"," 23320"," 22816"," 22818"," 22752"," 22812"," 22813"," 22909"," 23267"," 22141"," 22144"," 22940"," 22142"," 22581"," 22601"," 22571"," 22572"," 22274"," 22273"," 21156"," 22367"," 22898"," 84375"," 22630"," 22138"," 22617"," 22139"," 20750"," 20749"," 20682"," 20686"," 20978"," 23371"," 23372"
